epoch,iteration,phase,total_loss,loc_loss,conf_loss
1,1,train,19.34429931640625,3.6947977542877197,15.649500846862793
1,2,train,15.902480125427246,3.311533212661743,12.590947151184082
1,3,train,11.92153263092041,2.8334388732910156,9.088093757629395
1,4,train,11.063371658325195,2.9476191997528076,8.115752220153809
1,5,train,9.511974334716797,2.4462413787841797,7.065732955932617
1,6,train,9.364686965942383,2.395885944366455,6.9688005447387695
1,7,train,9.23630428314209,2.370182752609253,6.866121768951416
1,8,train,8.066871643066406,2.138613700866699,5.928257465362549
1,9,train,8.267461776733398,2.160464286804199,6.106997013092041
1,10,train,7.791423797607422,2.17858624458313,5.612837791442871
1,11,train,7.439565658569336,1.9845325946807861,5.455032825469971
2,1,train,19.34429931640625,3.6947977542877197,15.649500846862793
2,2,train,15.902480125427246,3.311533212661743,12.590947151184082
2,3,train,11.92153263092041,2.8334388732910156,9.088093757629395
2,4,train,11.063371658325195,2.9476191997528076,8.115752220153809
2,5,train,9.511974334716797,2.4462413787841797,7.065732955932617
2,6,train,9.364686965942383,2.395885944366455,6.9688005447387695
2,7,train,9.23630428314209,2.370182752609253,6.866121768951416
2,8,train,8.066871643066406,2.138613700866699,5.928257465362549
2,9,train,8.267461776733398,2.160464286804199,6.106997013092041
2,10,train,7.791423797607422,2.17858624458313,5.612837791442871
2,11,train,7.439565658569336,1.9845325946807861,5.455032825469971
2,12,train,8.029502868652344,2.105121374130249,5.924381256103516
2,13,train,7.751981735229492,2.131561040878296,5.620420455932617
2,14,train,7.275897026062012,2.0422074794769287,5.233689785003662
2,15,train,7.276966094970703,2.1288225650787354,5.148143291473389
2,16,train,6.857041358947754,2.0859317779541016,4.771109580993652
2,17,train,6.846923828125,2.0965051651000977,4.750418663024902
2,18,train,8.408122062683105,2.08256459236145,6.325557231903076
2,19,train,6.952612400054932,2.2060794830322266,4.746532917022705
2,20,train,7.020846366882324,2.0687763690948486,4.9520697593688965
2,21,train,6.6098785400390625,2.0965576171875,4.5133209228515625
2,22,train,6.577761650085449,2.0600292682647705,4.5177321434021
3,1,train,19.34429931640625,3.6947977542877197,15.649500846862793
3,2,train,15.902480125427246,3.311533212661743,12.590947151184082
3,3,train,11.92153263092041,2.8334388732910156,9.088093757629395
3,4,train,11.063371658325195,2.9476191997528076,8.115752220153809
3,5,train,9.511974334716797,2.4462413787841797,7.065732955932617
3,6,train,9.364686965942383,2.395885944366455,6.9688005447387695
3,7,train,9.23630428314209,2.370182752609253,6.866121768951416
3,8,train,8.066871643066406,2.138613700866699,5.928257465362549
3,9,train,8.267461776733398,2.160464286804199,6.106997013092041
3,10,train,7.791423797607422,2.17858624458313,5.612837791442871
3,11,train,7.439565658569336,1.9845325946807861,5.455032825469971
3,12,train,8.029502868652344,2.105121374130249,5.924381256103516
3,13,train,7.751981735229492,2.131561040878296,5.620420455932617
3,14,train,7.275897026062012,2.0422074794769287,5.233689785003662
3,15,train,7.276966094970703,2.1288225650787354,5.148143291473389
3,16,train,6.857041358947754,2.0859317779541016,4.771109580993652
3,17,train,6.846923828125,2.0965051651000977,4.750418663024902
3,18,train,8.408122062683105,2.08256459236145,6.325557231903076
3,19,train,6.952612400054932,2.2060794830322266,4.746532917022705
3,20,train,7.020846366882324,2.0687763690948486,4.9520697593688965
3,21,train,6.6098785400390625,2.0965576171875,4.5133209228515625
3,22,train,6.577761650085449,2.0600292682647705,4.5177321434021
3,23,train,6.389767169952393,2.1252360343933105,4.264531135559082
3,24,train,5.9969377517700195,2.063814163208008,3.9331235885620117
3,25,train,5.920684814453125,2.0738587379455566,3.8468263149261475
3,26,train,6.487832069396973,2.1289374828338623,4.358894348144531
3,27,train,6.398107528686523,1.9130098819732666,4.485097408294678
3,28,train,5.853199005126953,1.9218237400054932,3.93137526512146
3,29,train,5.964635372161865,2.113668203353882,3.8509671688079834
3,30,train,5.5783538818359375,1.990821361541748,3.5875327587127686
3,31,train,5.765970230102539,1.983047604560852,3.7829225063323975
3,32,train,5.595958232879639,2.0411787033081055,3.554779529571533
3,33,train,5.149308681488037,1.8236039876937866,3.32570481300354
4,1,train,19.34429931640625,3.6947977542877197,15.649500846862793
4,2,train,15.902480125427246,3.311533212661743,12.590947151184082
4,3,train,11.92153263092041,2.8334388732910156,9.088093757629395
4,4,train,11.063371658325195,2.9476191997528076,8.115752220153809
4,5,train,9.511974334716797,2.4462413787841797,7.065732955932617
4,6,train,9.364686965942383,2.395885944366455,6.9688005447387695
4,7,train,9.23630428314209,2.370182752609253,6.866121768951416
4,8,train,8.066871643066406,2.138613700866699,5.928257465362549
4,9,train,8.267461776733398,2.160464286804199,6.106997013092041
4,10,train,7.791423797607422,2.17858624458313,5.612837791442871
4,11,train,7.439565658569336,1.9845325946807861,5.455032825469971
4,12,train,8.029502868652344,2.105121374130249,5.924381256103516
4,13,train,7.751981735229492,2.131561040878296,5.620420455932617
4,14,train,7.275897026062012,2.0422074794769287,5.233689785003662
4,15,train,7.276966094970703,2.1288225650787354,5.148143291473389
4,16,train,6.857041358947754,2.0859317779541016,4.771109580993652
4,17,train,6.846923828125,2.0965051651000977,4.750418663024902
4,18,train,8.408122062683105,2.08256459236145,6.325557231903076
4,19,train,6.952612400054932,2.2060794830322266,4.746532917022705
4,20,train,7.020846366882324,2.0687763690948486,4.9520697593688965
4,21,train,6.6098785400390625,2.0965576171875,4.5133209228515625
4,22,train,6.577761650085449,2.0600292682647705,4.5177321434021
4,23,train,6.389767169952393,2.1252360343933105,4.264531135559082
4,24,train,5.9969377517700195,2.063814163208008,3.9331235885620117
